Blender 2.82 (sub 7) (hash 375c7dc4caf4 built 2020-03-12 05:30:40)
found bundled python: /usr/local/blender/2.82/python
Read blend: /blender/scene.blend
Fra:1 Mem:78.46M (0.00M, Peak 78.46M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Synchronizing object | Cube
Fra:1 Mem:78.47M (0.00M, Peak 78.47M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Synchronizing object | Plane
Fra:1 Mem:78.47M (0.00M, Peak 78.47M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Initializing
Fra:1 Mem:78.28M (0.00M, Peak 78.50M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Waiting for render to start
Fra:1 Mem:78.30M (0.00M, Peak 78.50M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Loading render kernels (may take a few minutes the first time)
Fra:1 Mem:78.30M (0.00M, Peak 78.50M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Scene
Fra:1 Mem:78.30M (0.00M, Peak 78.50M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Shaders
Fra:1 Mem:78.80M (0.00M, Peak 78.80M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Background
Fra:1 Mem:78.80M (0.00M, Peak 78.80M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Camera
Fra:1 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Meshes Flags
Fra:1 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Objects
Fra:1 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Objects | Copying Transformations to device
Fra:1 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Objects | Applying Static Transformations
Fra:1 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Hair Systems
Fra:1 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Hair settings | Copying Hair settings to device
Fra:1 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Particle Systems
Fra:1 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Particle Systems | Copying Particles to device
Fra:1 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Meshes
Fra:1 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Mesh | Computing attributes
Fra:1 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Mesh | Copying Attributes to device
Fra:1 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Mesh BVH Cube 1/1 | Building BVH
Fra:1 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Mesh BVH Cube 1/1 | Packing BVH triangles and strands
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Mesh BVH Cube 1/1 | Packing BVH nodes
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Scene BVH | Building
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Scene BVH | Building BVH
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Scene BVH | Packing BVH triangles and strands
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Scene BVH | Packing BVH nodes
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Scene BVH | Copying BVH to device
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Mesh | Computing normals
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Mesh | Copying Mesh to device
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Objects Flags
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Images
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Camera Volume
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Lookup Tables
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.10 | Mem:0.26M, Peak:0.26M | Scene, View Layer | Updating Lights
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.10 | Mem:0.26M, Peak:0.26M | Scene, View Layer | Updating Lights | Computing distribution
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.10 | Mem:0.26M, Peak:0.26M | Scene, View Layer | Updating Integrator
Fra:1 Mem:80.08M (0.00M, Peak 80.08M) | Time:00:00.10 | Mem:1.53M, Peak:1.53M | Scene, View Layer | Updating Film
Fra:1 Mem:80.09M (0.00M, Peak 80.34M) | Time:00:00.10 | Mem:1.28M, Peak:1.53M | Scene, View Layer | Updating Lookup Tables
Fra:1 Mem:80.09M (0.00M, Peak 80.34M) | Time:00:00.10 | Mem:1.53M, Peak:1.53M | Scene, View Layer | Updating Baking
Fra:1 Mem:80.09M (0.00M, Peak 80.34M) | Time:00:00.10 | Mem:1.53M, Peak:1.53M | Scene, View Layer | Updating Device | Writing constant memory
Fra:1 Mem:80.09M (0.00M, Peak 80.34M) | Time:00:00.10 | Mem:1.53M, Peak:1.53M | Scene, View Layer | Updating Device | Writing constant memory | Compiling render kernels
Fra:1 Mem:80.09M (0.00M, Peak 80.34M) | Time:00:00.10 | Mem:1.53M, Peak:1.53M | Scene, View Layer | Updating Device | Writing constant memory
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:26.85 | Remaining:00:22.20 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 284/510 Tiles, Denoised 246 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:26.93 | Remaining:00:22.17 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 284/510 Tiles, Denoised 247 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:26.94 | Remaining:00:22.14 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 285/510 Tiles, Denoised 247 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:27.04 | Remaining:00:22.08 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 285/510 Tiles, Denoised 248 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:27.09 | Remaining:00:22.05 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 286/510 Tiles, Denoised 248 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:27.17 | Remaining:00:22.00 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 287/510 Tiles, Denoised 248 tiles
Fra:1 Mem:149.08M (0.00M, Peak 150.87M) | Time:00:27.18 | Remaining:00:21.98 | Mem:70.52M, Peak:72.17M | Scene, View Layer | Rendered 287/510 Tiles, Denoised 249 tiles
Fra:1 Mem:149.58M (0.00M, Peak 150.87M) | Time:00:27.32 | Remaining:00:21.95 | Mem:71.02M, Peak:72.17M | Scene, View Layer | Rendered 288/510 Tiles, Denoised 249 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:27.58 | Remaining:00:22.13 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 288/510 Tiles, Denoised 250 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:27.60 | Remaining:00:22.11 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 288/510 Tiles, Denoised 251 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:27.70 | Remaining:00:22.01 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 288/510 Tiles, Denoised 252 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:27.73 | Remaining:00:21.90 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 289/510 Tiles, Denoised 252 tiles
Fra:1 Mem:149.93M (0.00M, Peak 150.87M) | Time:00:27.74 | Remaining:00:21.83 | Mem:71.37M, Peak:72.17M | Scene, View Layer | Rendered 290/510 Tiles, Denoised 252 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:27.75 | Remaining:00:21.81 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 290/510 Tiles, Denoised 253 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:27.78 | Remaining:00:21.69 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 291/510 Tiles, Denoised 253 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:27.82 | Remaining:00:21.65 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 292/510 Tiles, Denoised 253 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:27.90 | Remaining:00:21.68 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 292/510 Tiles, Denoised 254 tiles
Fra:1 Mem:149.58M (0.00M, Peak 150.87M) | Time:00:27.98 | Remaining:00:21.60 | Mem:71.02M, Peak:72.17M | Scene, View Layer | Rendered 293/510 Tiles, Denoised 254 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:28.09 | Remaining:00:21.66 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 293/510 Tiles, Denoised 255 tiles
Fra:1 Mem:149.93M (0.00M, Peak 150.87M) | Time:00:28.15 | Remaining:00:21.56 | Mem:71.37M, Peak:72.17M | Scene, View Layer | Rendered 294/510 Tiles, Denoised 255 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:28.16 | Remaining:00:21.53 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 294/510 Tiles, Denoised 256 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:28.19 | Remaining:00:21.48 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 294/510 Tiles, Denoised 257 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:28.23 | Remaining:00:21.35 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 295/510 Tiles, Denoised 257 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:28.26 | Remaining:00:21.29 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 296/510 Tiles, Denoised 257 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:28.59 | Remaining:00:21.51 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 296/510 Tiles, Denoised 258 tiles
Fra:1 Mem:149.93M (0.00M, Peak 150.87M) | Time:00:28.63 | Remaining:00:21.44 | Mem:71.37M, Peak:72.17M | Scene, View Layer | Rendered 296/510 Tiles, Denoised 259 tiles
Fra:1 Mem:150.43M (0.00M, Peak 150.87M) | Time:00:28.66 | Remaining:00:21.36 | Mem:71.87M, Peak:72.17M | Scene, View Layer | Rendered 297/510 Tiles, Denoised 259 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:28.67 | Remaining:00:21.30 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 297/510 Tiles, Denoised 260 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:28.70 | Remaining:00:21.22 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 298/510 Tiles, Denoised 260 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:28.74 | Remaining:00:21.14 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 299/510 Tiles, Denoised 260 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:28.83 | Remaining:00:21.18 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 299/510 Tiles, Denoised 261 tiles
Fra:1 Mem:149.08M (0.00M, Peak 150.87M) | Time:00:28.89 | Remaining:00:21.08 | Mem:70.52M, Peak:72.17M | Scene, View Layer | Rendered 299/510 Tiles, Denoised 262 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:28.90 | Remaining:00:21.02 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 300/510 Tiles, Denoised 262 tiles
Fra:1 Mem:149.58M (0.00M, Peak 150.87M) | Time:00:28.96 | Remaining:00:20.96 | Mem:71.02M, Peak:72.17M | Scene, View Layer | Rendered 301/510 Tiles, Denoised 262 tiles
Fra:1 Mem:148.92M (0.00M, Peak 150.87M) | Time:00:29.06 | Remaining:00:21.00 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 301/510 Tiles, Denoised 263 tiles
Fra:1 Mem:149.42M (0.00M, Peak 150.87M) | Time:00:29.11 | Remaining:00:20.90 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 302/510 Tiles, Denoised 263 tiles
Fra:1 Mem:149.05M (0.00M, Peak 150.87M) | Time:00:29.15 | Remaining:00:20.90 | Mem:70.49M, Peak:72.17M | Scene, View Layer | Rendered 302/510 Tiles, Denoised 264 tiles
Fra:1 Mem:149.05M (0.00M, Peak 150.87M) | Time:00:29.15 | Remaining:00:20.87 | Mem:70.49M, Peak:72.17M | Scene, View Layer | Rendered 302/510 Tiles, Denoised 265 tiles
Fra:1 Mem:149.42M (0.00M, Peak 150.87M) | Time:00:29.23 | Remaining:00:20.68 | Mem:70.86M, Peak:72.17M | Scene, View Layer | Rendered 303/510 Tiles, Denoised 265 tiles
Fra:1 Mem:149.42M (0.00M, Peak 150.87M) | Time:00:29.23 | Remaining:00:20.65 | Mem:70.86M, Peak:72.17M | Scene, View Layer | Rendered 304/510 Tiles, Denoised 265 tiles
Fra:1 Mem:148.92M (0.00M, Peak 150.87M) | Time:00:29.54 | Remaining:00:20.84 | Mem:70.36M, Peak:72.17M | Scene, View Layer | Rendered 304/510 Tiles, Denoised 266 tiles
Fra:1 Mem:148.92M (0.00M, Peak 150.87M) | Time:00:29.59 | Remaining:00:20.74 | Mem:70.36M, Peak:72.17M | Scene, View Layer | Rendered 304/510 Tiles, Denoised 267 tiles
Fra:1 Mem:149.42M (0.00M, Peak 150.87M) | Time:00:29.60 | Remaining:00:20.71 | Mem:70.86M, Peak:72.17M | Scene, View Layer | Rendered 305/510 Tiles, Denoised 267 tiles
Fra:1 Mem:148.92M (0.00M, Peak 150.87M) | Time:00:29.63 | Remaining:00:20.63 | Mem:70.36M, Peak:72.17M | Scene, View Layer | Rendered 305/510 Tiles, Denoised 268 tiles
Fra:1 Mem:149.42M (0.00M, Peak 150.87M) | Time:00:29.66 | Remaining:00:20.55 | Mem:70.86M, Peak:72.17M | Scene, View Layer | Rendered 306/510 Tiles, Denoised 268 tiles
Fra:1 Mem:149.42M (0.00M, Peak 150.87M) | Time:00:29.71 | Remaining:00:20.49 | Mem:70.86M, Peak:72.17M | Scene, View Layer | Rendered 307/510 Tiles, Denoised 268 tiles
Fra:1 Mem:148.92M (0.00M, Peak 150.87M) | Time:00:29.78 | Remaining:00:20.50 | Mem:70.36M, Peak:72.17M | Scene, View Layer | Rendered 307/510 Tiles, Denoised 269 tiles
Fra:1 Mem:148.42M (0.00M, Peak 150.87M) | Time:00:29.81 | Remaining:00:20.42 | Mem:69.86M, Peak:72.17M | Scene, View Layer | Rendered 307/510 Tiles, Denoised 270 tiles
Fra:1 Mem:148.92M (0.00M, Peak 150.87M) | Time:00:29.85 | Remaining:00:20.32 | Mem:70.36M, Peak:72.17M | Scene, View Layer | Rendered 308/510 Tiles, Denoised 270 tiles
Fra:1 Mem:148.92M (0.00M, Peak 150.87M) | Time:00:29.89 | Remaining:00:20.27 | Mem:70.36M, Peak:72.17M | Scene, View Layer | Rendered 309/510 Tiles, Denoised 270 tiles
Fra:1 Mem:148.92M (0.00M, Peak 150.87M) | Time:00:29.90 | Remaining:00:20.24 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 309/510 Tiles, Denoised 271 tiles
Fra:1 Mem:149.42M (0.00M, Peak 150.87M) | Time:00:30.00 | Remaining:00:20.18 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 310/510 Tiles, Denoised 271 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:30.01 | Remaining:00:20.16 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 310/510 Tiles, Denoised 272 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:30.05 | Remaining:00:20.15 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 310/510 Tiles, Denoised 273 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:30.16 | Remaining:00:20.02 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 311/510 Tiles, Denoised 273 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:30.19 | Remaining:00:19.98 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 312/510 Tiles, Denoised 273 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:30.41 | Remaining:00:20.09 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 312/510 Tiles, Denoised 274 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:30.44 | Remaining:00:20.08 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 312/510 Tiles, Denoised 275 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:30.53 | Remaining:00:19.94 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 312/510 Tiles, Denoised 276 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:30.56 | Remaining:00:19.89 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 313/510 Tiles, Denoised 276 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:30.58 | Remaining:00:19.84 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 314/510 Tiles, Denoised 276 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:30.64 | Remaining:00:19.78 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 314/510 Tiles, Denoised 277 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:30.66 | Remaining:00:19.76 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 314/510 Tiles, Denoised 278 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:30.66 | Remaining:00:19.73 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 315/510 Tiles, Denoised 278 tiles
Fra:1 Mem:149.08M (0.00M, Peak 150.87M) | Time:00:30.78 | Remaining:00:19.57 | Mem:70.52M, Peak:72.17M | Scene, View Layer | Rendered 315/510 Tiles, Denoised 279 tiles
Fra:1 Mem:149.58M (0.00M, Peak 150.87M) | Time:00:30.78 | Remaining:00:19.55 | Mem:71.02M, Peak:72.17M | Scene, View Layer | Rendered 316/510 Tiles, Denoised 279 tiles
Fra:1 Mem:149.58M (0.00M, Peak 150.87M) | Time:00:30.79 | Remaining:00:19.52 | Mem:71.02M, Peak:72.17M | Scene, View Layer | Rendered 317/510 Tiles, Denoised 279 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:30.93 | Remaining:00:19.47 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 318/510 Tiles, Denoised 279 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:31.12 | Remaining:00:19.57 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 318/510 Tiles, Denoised 280 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:31.20 | Remaining:00:19.52 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 318/510 Tiles, Denoised 281 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:31.25 | Remaining:00:19.45 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 319/510 Tiles, Denoised 281 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:31.32 | Remaining:00:19.40 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 320/510 Tiles, Denoised 281 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:31.48 | Remaining:00:19.47 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 320/510 Tiles, Denoised 282 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:31.50 | Remaining:00:19.45 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 320/510 Tiles, Denoised 283 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:31.57 | Remaining:00:19.26 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 321/510 Tiles, Denoised 283 tiles
Fra:1 Mem:149.93M (0.00M, Peak 150.87M) | Time:00:31.59 | Remaining:00:19.24 | Mem:71.37M, Peak:72.17M | Scene, View Layer | Rendered 322/510 Tiles, Denoised 283 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:31.60 | Remaining:00:19.22 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 322/510 Tiles, Denoised 284 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:31.65 | Remaining:00:19.12 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 323/510 Tiles, Denoised 284 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:31.72 | Remaining:00:19.13 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 323/510 Tiles, Denoised 285 tiles
Fra:1 Mem:149.93M (0.00M, Peak 150.87M) | Time:00:31.79 | Remaining:00:19.04 | Mem:71.37M, Peak:72.17M | Scene, View Layer | Rendered 324/510 Tiles, Denoised 285 tiles
Fra:1 Mem:150.08M (0.00M, Peak 150.87M) | Time:00:31.84 | Remaining:00:19.04 | Mem:71.52M, Peak:72.17M | Scene, View Layer | Rendered 324/510 Tiles, Denoised 286 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:31.90 | Remaining:00:18.95 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 324/510 Tiles, Denoised 287 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:31.91 | Remaining:00:18.92 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 325/510 Tiles, Denoised 287 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:31.97 | Remaining:00:18.83 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 326/510 Tiles, Denoised 287 tiles
Fra:1 Mem:149.08M (0.00M, Peak 150.87M) | Time:00:32.17 | Remaining:00:18.92 | Mem:70.52M, Peak:72.17M | Scene, View Layer | Rendered 326/510 Tiles, Denoised 288 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:32.20 | Remaining:00:18.87 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 326/510 Tiles, Denoised 289 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:32.25 | Remaining:00:18.71 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 327/510 Tiles, Denoised 289 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:32.28 | Remaining:00:18.68 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 328/510 Tiles, Denoised 289 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:32.47 | Remaining:00:18.77 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 328/510 Tiles, Denoised 290 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:32.52 | Remaining:00:18.67 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 328/510 Tiles, Denoised 291 tiles
Fra:1 Mem:149.93M (0.00M, Peak 150.87M) | Time:00:32.53 | Remaining:00:18.65 | Mem:71.37M, Peak:72.17M | Scene, View Layer | Rendered 329/510 Tiles, Denoised 291 tiles
Fra:1 Mem:149.93M (0.00M, Peak 150.87M) | Time:00:32.60 | Remaining:00:18.56 | Mem:71.37M, Peak:72.17M | Scene, View Layer | Rendered 330/510 Tiles, Denoised 291 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:32.67 | Remaining:00:18.57 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 330/510 Tiles, Denoised 292 tiles
Fra:1 Mem:148.42M (0.00M, Peak 150.87M) | Time:00:32.71 | Remaining:00:18.56 | Mem:69.87M, Peak:72.17M | Scene, View Layer | Rendered 330/510 Tiles, Denoised 293 tiles
Fra:1 Mem:148.92M (0.00M, Peak 150.87M) | Time:00:32.78 | Remaining:00:18.47 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 331/510 Tiles, Denoised 293 tiles
Fra:1 Mem:148.92M (0.00M, Peak 150.87M) | Time:00:32.81 | Remaining:00:18.40 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 331/510 Tiles, Denoised 294 tiles
Fra:1 Mem:149.42M (0.00M, Peak 150.87M) | Time:00:32.85 | Remaining:00:18.32 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 332/510 Tiles, Denoised 294 tiles
Fra:1 Mem:148.92M (0.00M, Peak 150.87M) | Time:00:32.85 | Remaining:00:18.29 | Mem:70.36M, Peak:72.17M | Scene, View Layer | Rendered 332/510 Tiles, Denoised 295 tiles
Fra:1 Mem:149.42M (0.00M, Peak 150.87M) | Time:00:32.89 | Remaining:00:18.15 | Mem:70.86M, Peak:72.17M | Scene, View Layer | Rendered 333/510 Tiles, Denoised 295 tiles
Fra:1 Mem:149.42M (0.00M, Peak 150.87M) | Time:00:32.91 | Remaining:00:18.10 | Mem:70.86M, Peak:72.17M | Scene, View Layer | Rendered 334/510 Tiles, Denoised 295 tiles
